,max_gap,min_dur,max_dur,next_state,waiting_time,,,,,,
0,1,11,51,"[1, 3, 5, 7]",314.17,,,,,,
1,1,11,51,"[3, 5, 7]",259.46,,,,,,
2,1,11,51,"[1, 5, 7]",302.85,,,,,,
3,1,11,51,"[1, 3, 7]",322.2,,,,,,
4,1,11,51,"[1, 3, 5]",314.17,,,,,,
5,1,11,51,"[5, 7]",259.42,,,,,,
6,1,11,51,"[3, 7]",311.53,,,,,,
7,1,11,51,"[3, 5]",259.46,,,,,,
8,1,11,51,"[1, 7]",322.2,,,,,,
9,1,11,51,"[1, 5]",302.85,,,,,,
10,1,11,51,"[1, 3]",322.2,,,,,,
11,1,11,51,[1],322.2,,,,,,
12,1,11,51,[3],311.53,,,,,,
13,1,11,51,[5],259.42,,,,,,
14,1,11,51,[7],311.53,,,,,,
15,1,11,51,[],311.53,,,,,,
16,1,11,52,"[1, 3, 5, 7]",314.17,,,,,,
17,1,11,52,"[3, 5, 7]",259.46,,,,,,
18,1,11,52,"[1, 5, 7]",302.85,,,,,,
19,1,11,52,"[1, 3, 7]",322.2,,,,,,
20,1,11,52,"[1, 3, 5]",314.17,,,,,,
21,1,11,52,"[5, 7]",259.42,,,,,,
22,1,11,52,"[3, 7]",311.53,,,,,,
23,1,11,52,"[3, 5]",259.46,,,,,,
24,1,11,52,"[1, 7]",322.2,,,,,,
25,1,11,52,"[1, 5]",302.85,,,,,,
26,1,11,52,"[1, 3]",322.2,,,,,,
27,1,11,52,[1],322.2,,,,,,
28,1,11,52,[3],311.53,,,,,,
29,1,11,52,[5],259.42,,,,,,
30,1,11,52,[7],311.53,,,,,,
31,1,11,52,[],311.53,,,,,,
32,1,11,53,"[1, 3, 5, 7]",314.17,,,,,,
33,1,11,53,"[3, 5, 7]",259.46,,,,,,
34,1,11,53,"[1, 5, 7]",302.85,,,,,,
35,1,11,53,"[1, 3, 7]",322.2,,,,,,
36,1,11,53,"[1, 3, 5]",314.17,,,,,,
37,1,11,53,"[5, 7]",259.42,,,,,,
38,1,11,53,"[3, 7]",311.53,,,,,,
39,1,11,53,"[3, 5]",259.46,,,,,,
40,1,11,53,"[1, 7]",322.2,,,,,,
41,1,11,53,"[1, 5]",302.85,,,,,,
42,1,11,53,"[1, 3]",322.2,,,,,,
43,1,11,53,[1],322.2,,,,,,
44,1,11,53,[3],311.53,,,,,,
45,1,11,53,[5],259.42,,,,,,
46,1,11,53,[7],311.53,,,,,,
47,1,11,53,[],311.53,,,,,,
48,1,11,54,"[1, 3, 5, 7]",314.17,,,,,,
49,1,11,54,"[3, 5, 7]",259.46,,,,,,
50,1,11,54,"[1, 5, 7]",302.85,,,,,,
51,1,11,54,"[1, 3, 7]",322.2,,,,,,
52,1,11,54,"[1, 3, 5]",314.17,,,,,,
53,1,11,54,"[5, 7]",259.42,,,,,,
54,1,11,54,"[3, 7]",311.53,,,,,,
55,1,11,54,"[3, 5]",259.46,,,,,,
56,1,11,54,"[1, 7]",322.2,,,,,,
57,1,11,54,"[1, 5]",302.85,,,,,,
58,1,11,54,"[1, 3]",322.2,,,,,,
59,1,11,54,[1],322.2,,,,,,
60,1,11,54,[3],311.53,,,,,,
61,1,11,54,[5],259.42,,,,,,
62,1,11,54,[7],311.53,,,,,,
63,1,11,54,[],311.53,,,,,,
64,1,11,55,"[1, 3, 5, 7]",314.17,,,,,,
65,1,11,55,"[3, 5, 7]",259.46,,,,,,
66,1,11,55,"[1, 5, 7]",302.85,,,,,,
67,1,11,55,"[1, 3, 7]",322.2,,,,,,
68,1,11,55,"[1, 3, 5]",314.17,,,,,,
69,1,11,55,"[5, 7]",259.42,,,,,,
70,1,11,55,"[3, 7]",311.53,,,,,,
71,1,11,55,"[3, 5]",259.46,,,,,,
72,1,11,55,"[1, 7]",322.2,,,,,,
73,1,11,55,"[1, 5]",302.85,,,,,,
74,1,11,55,"[1, 3]",322.2,,,,,,
75,1,11,55,[1],322.2,,,,,,
76,1,11,55,[3],311.53,,,,,,
77,1,11,55,[5],259.42,,,,,,
78,1,11,55,[7],311.53,,,,,,
79,1,11,55,[],311.53,,,,,,
80,1,11,56,"[1, 3, 5, 7]",314.17,,,,,,
81,1,11,56,"[3, 5, 7]",259.46,,,,,,
82,1,11,56,"[1, 5, 7]",302.85,,,,,,
83,1,11,56,"[1, 3, 7]",322.2,,,,,,
84,1,11,56,"[1, 3, 5]",314.17,,,,,,
85,1,11,56,"[5, 7]",259.42,,,,,,
86,1,11,56,"[3, 7]",311.53,,,,,,
87,1,11,56,"[3, 5]",259.46,,,,,,
88,1,11,56,"[1, 7]",322.2,,,,,,
89,1,11,56,"[1, 5]",302.85,,,,,,
90,1,11,56,"[1, 3]",322.2,,,,,,
91,1,11,56,[1],322.2,,,,,,
92,1,11,56,[3],311.53,,,,,,
93,1,11,56,[5],259.42,,,,,,
94,1,11,56,[7],311.53,,,,,,
95,1,11,56,[],311.53,,,,,,
96,1,11,57,"[1, 3, 5, 7]",314.17,,,,,,
97,1,11,57,"[3, 5, 7]",259.46,,,,,,
98,1,11,57,"[1, 5, 7]",302.85,,,,,,
99,1,11,57,"[1, 3, 7]",322.2,,,,,,
100,1,11,57,"[1, 3, 5]",314.17,,,,,,
101,1,11,57,"[5, 7]",259.42,,,,,,
102,1,11,57,"[3, 7]",311.53,,,,,,
103,1,11,57,"[3, 5]",259.46,,,,,,
104,1,11,57,"[1, 7]",322.2,,,,,,
105,1,11,57,"[1, 5]",302.85,,,,,,
106,1,11,57,"[1, 3]",322.2,,,,,,
107,1,11,57,[1],322.2,,,,,,
108,1,11,57,[3],311.53,,,,,,
109,1,11,57,[5],259.42,,,,,,
110,1,11,57,[7],311.53,,,,,,
111,1,11,57,[],311.53,,,,,,
112,1,11,58,"[1, 3, 5, 7]",314.17,,,,,,
113,1,11,58,"[3, 5, 7]",259.46,,,,,,
114,1,11,58,"[1, 5, 7]",302.85,,,,,,
115,1,11,58,"[1, 3, 7]",322.2,,,,,,
